id,first_name,last_name,email,created_at
1,Michael,Scott,michael@dundermifflin.com,2023-01-05
2,Pam,Beesly,pam@dundermifflin.com,2023-01-07
3,Jim,Halpert,jim@dundermifflin.com,2023-01-08
4,Dwight,Schrute,dwight@dundermifflin.com,2023-01-10
5,Stanley,Hudson,stanley@dundermifflin.com,2023-01-12
6,Phyllis,Vance,phyllis@dundermifflin.com,2023-01-13
7,Kevin,Malone,kevin@dundermifflin.com,2023-01-15
8,Angela,Martin,angela@dundermifflin.com,2023-01-18
9,Oscar,Martinez,oscar@dundermifflin.com,2023-01-20
10,Meredith,Hoane,meredith@dundermifflin.com,2023-01-22
